"Site","Gear","Group","OcclusionGroupAvg","OcclusionGroupSTDev","OcclusionSiteAvg","OcclusionSiteSTDev"
"Bebedero","Centipede Net","1",29.5930217869443,2.17825556053052,23.1914835158191,10.6716985494543
"Bebedero","Centipede Net","2",11.439114448272,8.87759780320937,23.1914835158191,10.6716985494543
"Bebedero","Centipede Net","3",28.5423143122411,7.77111111466587,23.1914835158191,10.6716985494543
"Chira","Centipede Net","1",31.1437322280362,2.34600376050924,22.3690061074023,13.2447587010575
"Chira","Centipede Net","2",26.2234316728927,14.6577466022655,22.3690061074023,13.2447587010575
"Chira","Centipede Net","3",9.73985442127808,10.2136884733987,22.3690061074023,13.2447587010575
"Colorado","Centipede Net","1",30.6947466493277,26.1115540493004,19.1697851242082,17.0510547953594
"Colorado","Centipede Net","2",18.9364387846693,9.2303695692043,19.1697851242082,17.0510547953594
"Colorado","Centipede Net","3",7.87816993862764,2.31759746945398,19.1697851242082,17.0510547953594
"Lepanto","Centipede Net","1",33.4813192639855,11.1732391076602,28.1541708550224,10.6559404292035
"Lepanto","Centipede Net","2",30.1041367958015,13.8668422623451,28.1541708550224,10.6559404292035
"Lepanto","Centipede Net","3",20.87705650528,3.0593746642753,28.1541708550224,10.6559404292035
"PuntaMorales","Centipede Net","1",31.5590334363845,11.6909636789112,27.1781821144808,21.3033956451972
"PuntaMorales","Centipede Net","2",13.3328486598023,14.8900539710401,27.1781821144808,21.3033956451972
"PuntaMorales","Centipede Net","3",36.6426642472557,31.7215071652483,27.1781821144808,21.3033956451972
"Tivives","Centipede Net","1",3.60563853607403,5.08028026071179,15.3319843894548,16.4090531156746
"Tivives","Centipede Net","2",8.61848741917769,5.59945505941771,15.3319843894548,16.4090531156746
"Tivives","Centipede Net","3",33.7718272131128,15.3608562299096,15.3319843894548,16.4090531156746
