"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond",NA,"(Intercept)",1.05240365612131,0.210349155840118,5.00312754723494,5.64075922306001e-07,0.640126886496277,1.46468042574635
"fixed","cond",NA,"GearCentipede Net",0.284431076132871,0.101824614837954,2.79334301028805,0.00521663433843481,0.084858498310819,0.484003653954923
"fixed","cond",NA,"GearSeine",-0.00779526289219509,0.110108149863636,-0.0707964206268945,0.943559780604357,-0.22360327102926,0.20801274524487
"fixed","cond",NA,"logEffort",-0.0976003613727631,0.070451344063175,-1.38535840118597,0.165942904232652,-0.235682458399026,0.0404817356534996
"fixed","cond",NA,"Occlusion",-0.107603998162905,0.0982573969981688,-1.09512363903667,0.273462473657254,-0.30018495749397,0.0849769611681596
"fixed","cond",NA,"SecchiDepth",-0.173126677432628,0.123467973933959,-1.40219906358252,0.160855811213442,-0.415119459587318,0.0688661047220615
"fixed","cond",NA,"DaylightPercent",-0.134640881162106,0.0787697069262869,-1.7092977289874,0.0873958137820759,-0.289026669810403,0.0197449074861919
"fixed","cond",NA,"SteepnessMedium",-0.0127167097362932,0.17072363522426,-0.0744871073040866,0.940622799548625,-0.347328886085596,0.32189546661301
"fixed","cond",NA,"SteepnessHigh",-0.136891970506774,0.171723497577234,-0.797165049851179,0.42535518118047,-0.473463841057404,0.199679900043855
"fixed","cond",NA,"MudDominantTrue",-0.0776671660109855,0.183319348617396,-0.423671405101289,0.671805472024029,-0.436966486970425,0.281632154948454
"fixed","cond",NA,"SeasonRainy",-0.205211932060667,0.102032793144853,-2.01123507193744,0.044300632905135,-0.405192531866604,-0.00523133225472908
"fixed","cond",NA,"Temperature",0.0677523259156912,0.0645491457688389,1.04962389677973,0.293891065722546,-0.058761675024059,0.194266326855441
"fixed","cond",NA,"GearCentipede Net:logEffort",0.225589237405002,0.117391610693856,1.92168108156649,0.0546458991633086,-0.0044940916421031,0.455672566452107
"fixed","cond",NA,"GearSeine:logEffort",0.350948413723754,0.115648193205927,3.03462080984563,0.00240838277171829,0.124282120163008,0.5776147072845
"fixed","cond",NA,"GearCentipede Net:Occlusion",0.0256617125138852,0.110420708638192,0.232399455051219,0.816227772145526,-0.190758899564362,0.242082324592132
"fixed","cond",NA,"GearSeine:Occlusion",-0.0782328432238605,0.111733709169201,-0.700172256032339,0.483819735684799,-0.297226889054567,0.140761202606846
"fixed","cond",NA,"GearCentipede Net:SecchiDepth",0.1432072735638,0.148960410770369,0.961378079069353,0.33636210213428,-0.148749766668417,0.435164313796016
"fixed","cond",NA,"GearSeine:SecchiDepth",-0.0905272649213105,0.167591523802132,-0.540166130526937,0.589082467978264,-0.419000615687676,0.237946085845055
"fixed","cond",NA,"GearCentipede Net:DaylightPercent",0.130783473423293,0.103375529750992,1.26512989813276,0.205824766810846,-0.0718288417714009,0.333395788617987
"fixed","cond",NA,"GearSeine:DaylightPercent",-0.0123438413823628,0.109278326497958,-0.112957818608188,0.910063996983931,-0.22652542560917,0.201837742844444
"ran_pars","cond","Site","sd__(Intercept)",1.0186393357631e-05,NA,NA,NA,0.333251499560717,0.395397874358296
