"Species","Common Name","Cast Net","Centipede Net","Seine"
"Achirus mazatlanus","Mazatlan sole",2,0,2
"Alectis ciliaris","African pompano",2,0,0
"Anchoa chamensis","Chame Point anchovy",4,0,44
"Anchoa lucida","Bright anchovy",3,0,10
"Anchoa nasus","Longnose anchovy",5,0,0
"Anchoa panamensis","Panama anchovy",48,17,602
"Anchoa starksi","Starks's anchovy",31,14,901
"Ariopsis guatemalensis","Blue sea catfish",0,2,0
"Ariopsis seemanni","Tete sea catfish",64,314,156
"Astyanax aeneus","Banded tetra",1,0,1
"Atherinella argentea","Moon silverside",30,4,128
"Bagre pinnimaculatus","Red sea catfish",2,0,1
"Bairdiella armata","Armed croaker",2,11,8
"Bairdiella ensifera","Swordspine croaker",2,2,0
"Bathygobius andrei","Estuarine frillfin",0,2,1
"Bathygobius ramosus","Panamic frillfin",0,5,0
"Batrachoides waltersi","Walter's toadfish",0,4,0
"Bollmannia umbrosa","Dusky goby",0,0,1
"Caranx caballus","Green jack",0,0,1
"Caranx caninus","Pacific crevalle jack",2,0,1
"Cathorops steindachneri","Steindachner's sea catfish",0,4,1
"Centropomus medius","Blackfin snook",2,4,0
"Centropomus robalito","Yellowfin snook",1,2,0
"Centropomus unionensis","Union snook",3,21,3
"Chaetodipterus zonatus","Pacific spadefish",0,0,1
"Citharichthys gilberti","Bigmouth sanddab",0,0,2
"Ctenogobius sagittula","Longtail goby",0,0,2
"Cyclopsetta panamensis","God's flounder",1,3,0
"Cynoponticus coniceps","Red pike conger",0,1,0
"Cynoscion albus","Whitefin weakfish",0,3,0
"Cynoscion phoxocephalus","Cachema weakfish",2,2,3
"Cynoscion squamipinnis","Weakfish",1,0,0
"Cynoscion stolzmanni","Stolzmann's weakfish",1,2,1
"Diapterus brevirostris","Peruvian mojarra",6,85,701
"Dormitator latifrons","Pacific fat sleeper",3,2,1
"Eucinostomus currani","Pacific flagfin mojarra",7,24,114
"Eugerres brevimanus","Short fin mojarra",1,0,0
"Genyatremus dovii","Spotted head sargo",1,0,0
"Gerres simillimus","Yellowfin mojarra",3,0,0
"Gobioides peruanus","Peruvian eelgoby",0,0,3
"Gobiomorus maculatus","Pacific sleeper",0,1,0
"Guentheridia formosa","Spotted puffer",0,2,1
"Haemulopsis axillaris","Yellowstripe grunt",0,1,3
"Haemulopsis elongatus","Elongate grunt",1,2,0
"Haemulopsis leuciscus","Raucous grunt",0,4,5
"Haemulopsis nitida","Shining grunt",0,0,1
"Hemicaranx leucurus","Yellowfin jack",0,0,1
"Hyporhamphus snyderi","Skipper halfbeak",0,0,3
"Lile stolifera","Striped herring",0,1,1
"Lobotes pacifica","Pacific tripletail",0,1,0
"Lutjanus argentiventris","Yellow snapper",6,9,0
"Lutjanus colorado","Colorado snapper",0,0,2
"Mugil hospes","Hospe mullet",0,1,0
"Mugil setosus","Liseta mullet",27,20,308
"Myrichthys tigrinus","Spotted snake-eel",0,1,0
"Myrophis vafer","Pacific worm eel",0,4,3
"Oligoplites altus","Longjaw leatherjacket",3,0,0
"Oligoplites saurus","Leatherjacket",1,0,0
"Ophichthus remiger","Punctuated snake-eel",0,2,0
"Ophichthus triserialis","Pacific snake eel",0,2,0
"Ophioscion imiceps","Blinkard croaker",1,0,0
"Ophioscion scierus","Point-Tuza croaker",0,1,0
"Ophioscion strabo","Squint-eyed croaker",2,0,0
"Ophioscion typicus","Point-nosed croaker",14,1,1
"Ophioscion vermicularis","Vermiculated croaker",0,0,2
"Oxyzygonectes dovii","White-eye",1,3,3
"Parachromis managuensis","Jaguar guapote",1,1,1
"Paralonchurus dumerilii","Suco croaker",0,1,0
"Paraselene orstedii","Mexican moonfish",0,0,1
"Poeciliopsis elongata","Elongate toothcarp",1,53,135
"Poeciliopsis turrubarensis","Turrubarés toothcarp",0,11,0
"Pomadasys empherus","Bigspine grunt",0,12,0
"Pterygoplichthys pardalis","Amazon sailfin catfish",1,0,0
"Rhencus macracanthus","Longspine grunt",0,1,1
"Rhonciscus bayanus","Purplemouth grunt",4,0,6
"Rhonciscus branickii","Sand grunt",0,3,5
"Rypticus bicolor","Mottled soapfish",0,3,0
"Rypticus nigripinnis","Blackfin soapfish",0,3,0
"Sciades dowii","Flapnose sea catfish",8,61,10
"Sphoeroides annulatus","Bullseye puffer",3,18,7
"Sphoeroides lobatus","Longnose puffer",1,0,0
"Sphoeroides rosenblatti","Oval puffer",0,2,1
"Stellifer mancorensis","Smooth stardrum",42,1,7
"Stellifer oscitans","Yawning stardrum",56,0,0
"Strongylura exilis","Californian needlefish",1,0,10
"Syacium ovale","Oval flounder",0,5,0
"Urotrygon munda","Munda round ray",0,2,0
