"Assemblage","Samples (n)","Method","SC","qD","qD.LCL","qD.UCL"
"Cast Net",21.7537044848255,"Rarefaction","75 % Coverage",36.9808764174046,30.3236638798259,43.6380889549833
"Centipede Net",13.0315436534301,"Rarefaction","75 % Coverage",35.1624845910998,30.0164630747889,40.3085061074107
"Seine",13.2460525682962,"Rarefaction","75 % Coverage",30.9475556378842,23.3120745737304,38.5830367020381
"Cast Net & Centipede Net",12.7725009884835,"Rarefaction","75 % Coverage",48.2482198264901,41.8355880582447,54.6608515947356
"Cast Net & Seine",12.2595035098353,"Rarefaction","75 % Coverage",41.0372735137457,33.8104496653558,48.2640973621357
"Centipede Net & Seine",9.39764581635431,"Rarefaction","75 % Coverage",40.8784402365058,35.0711695769362,46.6857108960754
"All Gears",9.58601520320737,"Rarefaction","75 % Coverage",48.5570517388611,42.1195228525797,54.9945806251426
NA,NA,NA,NA,NA,NA,NA
"Cast Net",63.5214172229441,"Extrapolation","95 % Coverage",56.1596153846155,37.2129280475382,75.1063027216928
"Centipede Net",45.5134073339648,"Extrapolation","95 % Coverage",59.1818181818181,45.3803117004555,72.9833246631808
"Seine",68.9737448807329,"Extrapolation","95 % Coverage",67.0241935483872,39.7100789216235,94.3383081751509
"Cast Net & Centipede Net",45.3083113998978,"Extrapolation","95 % Coverage",82.0945165945166,67.2131148428058,96.9759183462275
"Cast Net & Seine",56.9011182349203,"Extrapolation","95 % Coverage",81.8548387096774,61.9419800260163,101.767697393339
"Centipede Net & Seine",42.2725459719824,"Extrapolation","95 % Coverage",78.9111111111112,63.0774507991837,94.7447714230386
"All Gears",43.7446260776951,"Extrapolation","95 % Coverage",93.3250000000002,76.4114467275729,110.238553272428
